[Gap-Up Stocks]
Symbol,Rank,Lot,GAP Value,GAP Diff,Quality Score,Diff_3Y,ATH Gap%,LTP,Intrinsic,3Y,ATH,Volatility%,Details
AAREYDRUGS,1429,1,68.26 - 65.65,-3.98,0,,35.0,65.18,53.06,,100.0,5.95,(Stock Name: AAREY DRUGS & PHARM LTD; Sector: Healthcare; Intrinsic: 53.06; Revenue: 391 cr; Net Profit: 3 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 100.0 => 35.0%; SMA 200: 71.96 => -10.41%; RSI: 42.48; Day Volatility: 5.95; Week Volatility: 15.07; Month Volatility: 28.04; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 32.85 => 49.6%; Week Support: 32.85 => 49.6%; Month Support: 32.85 => 49.6%; Day NWE: 59.05 => 9.4%; Week NWE: 51.9 => 20.38%; Month NWE: 0.0 => 100.0%)
THELEELA,395,1,435.45 - 423.0,-2.94,3,,9.0,432.2,193.13,,474.4,3.99,(Stock Name: LEELA PALACES HOTEL LTD; Sector: Consumer Cyclical; Intrinsic: 193.13; Revenue: 1490 cr; Net Profit: 349 cr; Recommended: none; Projected High: 605.0; Projected Medium: 579.0; Projected Low: 510.0; All time high: 474.4 => 9.0%; SMA 200: 0.0 => 100.0%; RSI: 47.44; Day Volatility: 3.99; Week Volatility: 6.88; Month Volatility: 12.95; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 0.0 => 100.0%; Month Support: 0.0 => 100.0%; Day NWE: 408.37 => 5.51%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
AARTISURF,1406,1,376.15 - 366.05,-2.76,4,,80.0,364.55,279.91,,1858.13,4.85,(Stock Name: AARTI SURFACTANTS LIMITED; Sector: Basic Materials; Intrinsic: 279.91; Revenue: 805 cr; Net Profit: 18 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 1858.13 => 80.0%; SMA 200: 468.13 => -28.41%; RSI: 38.61; Day Volatility: 4.85; Week Volatility: 9.94; Month Volatility: 20.2; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 396.0 => -8.63%; Week Support: 396.0 => -8.63%; Month Support: 418.05 => -14.68%; Day NWE: 341.36 => 6.36%; Week NWE: 276.51 => 24.15%; Month NWE: 0.0 => 100.0%)
JAIBALAJI,675,1,66.56 - 64.9,-2.56,1,,76.0,62.45,24.33,,262.8,6.35,(Stock Name: JAI BALAJI INDUSTRIES LTD; Sector: Basic Materials; Intrinsic: 24.33; Revenue: 5629 cr; Net Profit: 184 cr; Recommended: strong_buy; Projected High: 133.0; Projected Medium: 133.0; Projected Low: 133.0; All time high: 262.8 => 76.0%; SMA 200: 89.75 => -43.72%; RSI: 44.42; Day Volatility: 6.35; Week Volatility: 15.76; Month Volatility: 26.45; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 156.62 => -150.79%; Month Support: 7.16 => 88.53%; Day NWE: 52.74 => 15.56%; Week NWE: 30.65 => 50.91%; Month NWE: 50.93 => 18.44%)
LLOYDSENGG,718,1,43.93 - 42.85,-2.52,2,,55.0,41.85,9.0,,93.4,4.5,(Stock Name: LLOYDS ENGG WORK LIMITED; Sector: Industrials; Intrinsic: 9.0; Revenue: 1038 cr; Net Profit: 161 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 93.4 => 55.0%; SMA 200: 59.37 => -41.86%; RSI: 31.32; Day Volatility: 4.5; Week Volatility: 12.58; Month Volatility: 25.06; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 48.1 => -14.93%; Week Support: 48.1 => -14.93%; Month Support: 0.0 => 100.0%; Day NWE: 38.67 => 7.6%; Week NWE: 36.64 => 12.44%; Month NWE: 0.0 => 100.0%)
CIGNITITEC,874,1,1091.8 - 1065.0,-2.52,5,,46.0,1073.4,409.66,,1970.0,4.13,(Stock Name: CIGNITI TECHNOLOGIES LTD; Sector: Technology; Intrinsic: 409.66; Revenue: 2211 cr; Net Profit: 302 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 1970.0 => 46.0%; SMA 200: 1630.09 => -51.86%; RSI: 14.54; Day Volatility: 4.13; Week Volatility: 14.87; Month Volatility: 27.77; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1033.25 => 3.74%; Week Support: 1033.25 => 3.74%; Month Support: 1033.25 => 3.74%; Day NWE: 975.1 => 9.16%; Week NWE: 1139.87 => -6.19%; Month NWE: 1026.08 => 4.41%)
ANTELOPUS,1039,1,575.85 - 562.0,-2.46,5,,17.0,542.7,55.87,,652.55,7.36,
DCBBANK,690,1,174.01 - 170.0,-2.36,4,,31.0,169.36,189.66,,244.65,4.05,(Stock Name: DCB BANK LIMITED; Sector: Financial Services; Intrinsic: 189.66; Revenue: 2905 cr; Net Profit: 703 cr; Recommended: strong_buy; Projected High: 245.0; Projected Medium: 220.0; Projected Low: 150.0; All time high: 244.65 => 31.0%; SMA 200: 156.63 => 7.52%; RSI: 36.05; Day Volatility: 4.05; Week Volatility: 9.7; Month Volatility: 15.79; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 101.41 => 40.12%; Week Support: 101.41 => 40.12%; Month Support: 101.41 => 40.12%; Day NWE: 156.67 => 7.49%; Week NWE: 155.99 => 7.89%; Month NWE: 110.97 => 34.47%)
VINYLINDIA,1399,1,199.46 - 195.0,-2.29,6,,80.0,191.62,66.45,,951.7,2.89,(Stock Name: VINYL CHEMICALS (I) LTD.; Sector: Basic Materials; Intrinsic: 66.45; Revenue: 645 cr; Net Profit: 19 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 951.7 => 80.0%; SMA 200: 268.42 => -40.08%; RSI: 27.05; Day Volatility: 2.89; Week Volatility: 7.9; Month Volatility: 17.84; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 215.1 => -12.25%; Week Support: 215.1 => -12.25%; Month Support: 36.8 => 80.8%; Day NWE: 186.87 => 2.48%; Week NWE: 162.31 => 15.3%; Month NWE: 146.59 => 23.5%)
M&M,20,1,3031.2 - 2965.0,-2.23,3,,24.0,2931.1,741.99,,3839.9,3.34,(Stock Name: MAHINDRA & MAHINDRA LTD; Sector: Consumer Cyclical; Intrinsic: 741.99; Revenue: 188890 cr; Net Profit: 15726 cr; Recommended: strong_buy; Projected High: 4767.0; Projected Medium: 4353.0; Projected Low: 3900.0; All time high: 3839.9 => 24.0%; SMA 200: 3434.47 => -17.17%; RSI: 26.12; Day Volatility: 3.34; Week Volatility: 8.06; Month Volatility: 13.6; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 2425.0 => 17.27%; Week Support: 2425.0 => 17.27%; Month Support: 2425.0 => 17.27%; Day NWE: 3056.78 => -4.29%; Week NWE: 2982.16 => -1.74%; Month NWE: 2717.14 => 7.3%)
KPRMILL,255,1,909.4 - 890.0,-2.18,1,,40.0,839.2,156.47,,1389.0,6.11,(Stock Name: KPR MILL LTD.; Sector: Consumer Cyclical; Intrinsic: 156.47; Revenue: 6635 cr; Net Profit: 844 cr; Recommended: buy; Projected High: 1215.0; Projected Medium: 1034.0; Projected Low: 865.0; All time high: 1389.0 => 40.0%; SMA 200: 1023.86 => -22.0%; RSI: 43.15; Day Volatility: 6.11; Week Volatility: 12.71; Month Volatility: 18.02; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 755.5 => 9.97%; Week Support: 755.5 => 9.97%; Month Support: 479.45 => 42.87%; Day NWE: 771.72 => 8.04%; Week NWE: 747.04 => 10.98%; Month NWE: 801.43 => 4.5%)
INDIQUBE,854,1,156.47 - 153.3,-2.07,2,,38.0,150.04,27.27,,243.8,5.16,(Stock Name: INDIQUBE SPACES LIMITED; Sector: Real Estate; Intrinsic: 27.27; Revenue: 1346 cr; Net Profit: -115 cr; Recommended: strong_buy; Projected High: 316.0; Projected Medium: 280.0; Projected Low: 272.0; All time high: 243.8 => 38.0%; SMA 200: 0.0 => 100.0%; RSI: 25.24; Day Volatility: 5.16; Week Volatility: 11.12; Month Volatility: 20.98; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 0.0 => 100.0%; Month Support: 0.0 => 100.0%; Day NWE: 148.44 => 1.07%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
PPLPHARMA,331,1,145.54 - 142.6,-2.06,0,,55.0,139.81,61.03,,307.9,3.95,(Stock Name: PIRAMAL PHARMA LIMITED; Sector: Healthcare; Intrinsic: 61.03; Revenue: 8871 cr; Net Profit: -164 cr; Recommended: none; Projected High: 285.0; Projected Medium: 205.0; Projected Low: 160.0; All time high: 307.9 => 55.0%; SMA 200: 186.43 => -33.34%; RSI: 26.66; Day Volatility: 3.95; Week Volatility: 8.79; Month Volatility: 17.43; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 181.73 => -29.98%; Week Support: 181.73 => -29.98%; Month Support: 0.0 => 100.0%; Day NWE: 139.01 => 0.58%; Week NWE: 121.02 => 13.44%; Month NWE: 0.0 => 100.0%)
TIL,1143,1,209.43 - 205.25,-2.04,0,,77.0,202.92,12.53,,864.0,6.21,(Stock Name: TIL LTD; Sector: Industrials; Intrinsic: 12.53; Revenue: 316 cr; Net Profit: -11 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 864.0 => 77.0%; SMA 200: 299.93 => -47.8%; RSI: 40.95; Day Volatility: 6.21; Week Volatility: 17.93; Month Volatility: 27.75; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 165.4 => 18.49%; Week Support: 165.4 => 18.49%; Month Support: 165.4 => 18.49%; Day NWE: 180.02 => 11.28%; Week NWE: 132.32 => 34.79%; Month NWE: 132.76 => 34.58%)
PARADEEP,462,1,112.62 - 110.4,-2.01,4,,52.0,111.39,62.13,,234.39,5.06,(Stock Name: PARADEEP PHOSPHATES LTD; Sector: Basic Materials; Intrinsic: 62.13; Revenue: 18180 cr; Net Profit: 903 cr; Recommended: buy; Projected High: 200.0; Projected Medium: 167.5; Projected Low: 135.0; All time high: 234.39 => 52.0%; SMA 200: 166.16 => -49.17%; RSI: 40.42; Day Volatility: 5.06; Week Volatility: 11.85; Month Volatility: 31.57; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 83.25 => 25.26%; Week Support: 83.25 => 25.26%; Month Support: 0.0 => 100.0%; Day NWE: 96.52 => 13.35%; Week NWE: 91.93 => 17.47%; Month NWE: 0.0 => 100.0%)
