[Equity Support - Nearing List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Day Gap%,Week Gap%,Month Gap%,Volatility%,Details
LDOS,812,100,1.0,4,107.12,-15.4,-15.4,28.51,3.62,(Stock Name: Leidos Holdings, Inc.; Sector: Technology; Intrinsic: 39.85; Revenue: 1733 cr; Net Profit: 141 cr; Recommended: buy; Projected High: 225.0; Projected Medium: 178.0; Projected Low: 125.0; All time high: 205.77 => 48.0%; SMA 200: 171.29 => -59.91%; RSI: 17.72; Day Volatility: 3.62; Week Volatility: 10.79; Month Volatility: 24.38; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 123.62 => -15.4%; Week Support: 123.62 => -15.4%; Month Support: 76.58 => 28.51%; Day NWE: 103.29 => 3.58%; Week NWE: 107.03 => 0.09%; Month NWE: 131.16 => -22.44%)
AMPL,3112,100,1.0,-1,6.53,-15.62,-15.62,-12.86,5.47,(Stock Name: Amplitude, Inc.; Sector: Technology; Intrinsic: 1.64; Revenue: 36 cr; Net Profit: -9 cr; Recommended: buy; Projected High: 18.0; Projected Medium: 10.0; Projected Low: 7.0; All time high: 87.98 => 93.0%; SMA 200: 8.92 => -36.53%; RSI: 41.39; Day Volatility: 5.47; Week Volatility: 18.44; Month Volatility: 36.91; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 7.55 => -15.62%; Week Support: 7.55 => -15.62%; Month Support: 7.37 => -12.86%; Day NWE: 5.33 => 18.33%; Week NWE: 4.46 => 31.72%; Month NWE: 0.0 => 100.0%)
PHUN,5392,100,1.0,0,1.92,-15.63,-15.63,-1306.25,2.91,(Stock Name: Phunware, Inc.; Sector: Technology; Intrinsic: 4.62; Revenue: 0 cr; Net Profit: -1 cr; Recommended: none; Projected High: 2.0; Projected Medium: 2.0; Projected Low: 2.0; All time high: 27500.0 => 100.0%; SMA 200: 2.13 => -10.89%; RSI: 43.33; Day Volatility: 2.91; Week Volatility: 10.38; Month Volatility: 19.96; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 2.22 => -15.63%; Week Support: 2.22 => -15.63%; Month Support: 27.0 => -1306.25%; Day NWE: 1.75 => 8.9%; Week NWE: 0.45 => 76.35%; Month NWE: -0.99 => 151.55%)
NKE,333,100,1.0,4,45.2,-15.66,-15.66,-15.66,3.08,(Stock Name: Nike, Inc.; Sector: Consumer Cyclical; Intrinsic: 9.52; Revenue: 4652 cr; Net Profit: 225 cr; Recommended: buy; Projected High: 120.0; Projected Medium: 55.0; Projected Low: 23.0; All time high: 179.1 => 75.0%; SMA 200: 58.76 => -30.0%; RSI: 52.67; Day Volatility: 3.08; Week Volatility: 6.45; Month Volatility: 16.35; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 52.28 => -15.66%; Week Support: 52.28 => -15.66%; Month Support: 52.28 => -15.66%; Day NWE: 39.09 => 13.51%; Week NWE: 33.51 => 25.87%; Month NWE: 28.12 => 37.79%)
OM,4891,100,1.0,-3,5.05,-15.84,-15.84,,9.75,(Stock Name: Outset Medical, Inc.; Sector: Healthcare; Intrinsic: 6.03; Revenue: 12 cr; Net Profit: -7 cr; Recommended: buy; Projected High: 10.0; Projected Medium: 7.0; Projected Low: 6.0; All time high: 1004.4 => 99.0%; SMA 200: 6.61 => -30.86%; RSI: 58.77; Day Volatility: 9.75; Week Volatility: 18.11; Month Volatility: 33.72; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 5.85 => -15.84%; Week Support: 5.85 => -15.84%; Month Support: 0.0 => 100.0%; Day NWE: 3.63 => 28.13%; Week NWE: -9.0 => 278.16%; Month NWE: 0.0 => 100.0%)
ENOV,2602,100,1.0,-2,21.97,-15.93,-15.93,-99.73,6.81,(Stock Name: Enovis Corporation; Sector: Healthcare; Intrinsic: 25.66; Revenue: 228 cr; Net Profit: -114 cr; Recommended: strong_buy; Projected High: 55.0; Projected Medium: 40.0; Projected Low: 33.0; All time high: 129.72 => 83.0%; SMA 200: 26.36 => -20.0%; RSI: 45.73; Day Volatility: 6.81; Week Volatility: 14.27; Month Volatility: 25.02; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 25.47 => -15.93%; Week Support: 25.47 => -15.93%; Month Support: 43.88 => -99.73%; Day NWE: 19.17 => 12.75%; Week NWE: 17.17 => 21.86%; Month NWE: 8.41 => 61.72%)
ETD,3317,100,1.0,1,21.17,-15.97,-15.97,7.42,3.46,(Stock Name: Ethan Allen Interiors Inc.; Sector: Consumer Cyclical; Intrinsic: 18.62; Revenue: 59 cr; Net Profit: 4 cr; Recommended: none; Projected High: 24.0; Projected Medium: 24.0; Projected Low: 24.0; All time high: 38.8 => 45.0%; SMA 200: 23.81 => -12.47%; RSI: 53.36; Day Volatility: 3.46; Week Volatility: 6.28; Month Volatility: 11.05; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 24.55 => -15.97%; Week Support: 24.55 => -15.97%; Month Support: 19.6 => 7.42%; Day NWE: 19.55 => 7.66%; Week NWE: 17.82 => 15.83%; Month NWE: 17.09 => 19.27%)
INO,4901,100,1.0,-3,1.12,-16.07,-16.07,-242.86,5.1,(Stock Name: Inovio Pharmaceuticals, Inc.; Sector: Healthcare; Intrinsic: 0.07; Revenue: 0 cr; Net Profit: -8 cr; Recommended: buy; Projected High: 13.0; Projected Medium: 4.25; Projected Low: 1.8; All time high: 405.48 => 100.0%; SMA 200: 1.79 => -59.47%; RSI: 42.04; Day Volatility: 5.1; Week Volatility: 24.09; Month Volatility: 49.2; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1.3 => -16.07%; Week Support: 1.3 => -16.07%; Month Support: 3.84 => -242.86%; Day NWE: 0.88 => 21.79%; Week NWE: -0.55 => 148.77%; Month NWE: -44.45 => 4068.71%)
VTEX,3833,100,1.0,5,3.61,-16.2,-16.2,26.32,3.38,(Stock Name: VTEX; Sector: Technology; Intrinsic: 1.35; Revenue: 25 cr; Net Profit: 2 cr; Recommended: buy; Projected High: 12.0; Projected Medium: 5.0; Projected Low: 4.1; All time high: 33.36 => 89.0%; SMA 200: 3.85 => -6.77%; RSI: 46.89; Day Volatility: 3.38; Week Volatility: 9.87; Month Volatility: 20.25; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 4.2 => -16.2%; Week Support: 4.2 => -16.2%; Month Support: 2.66 => 26.32%; Day NWE: 3.18 => 11.86%; Week NWE: 2.45 => 32.03%; Month NWE: 0.0 => 100.0%)
PTC,823,100,1.0,5,114.75,-16.24,-16.24,-16.24,5.81,(Stock Name: PTC Inc.; Sector: Technology; Intrinsic: 33.42; Revenue: 300 cr; Net Profit: 125 cr; Recommended: buy; Projected High: 230.0; Projected Medium: 180.0; Projected Low: 130.0; All time high: 219.69 => 48.0%; SMA 200: 166.16 => -44.8%; RSI: 27.48; Day Volatility: 5.81; Week Volatility: 12.47; Month Volatility: 19.65; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 133.38 => -16.24%; Week Support: 133.38 => -16.24%; Month Support: 133.38 => -16.24%; Day NWE: 113.22 => 1.33%; Week NWE: 106.22 => 7.43%; Month NWE: 124.38 => -8.39%)
CNNE,3226,100,1.0,-3,13.68,-16.34,-16.34,-16.45,3.56,(Stock Name: Cannae Holdings, Inc.; Sector: Consumer Cyclical; Intrinsic: 21.02; Revenue: 42 cr; Net Profit: -41 cr; Recommended: strong_buy; Projected High: 22.0; Projected Medium: 17.0; Projected Low: 16.0; All time high: 46.57 => 71.0%; SMA 200: 15.15 => -10.73%; RSI: 42.95; Day Volatility: 3.56; Week Volatility: 9.21; Month Volatility: 16.36; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 15.91 => -16.34%; Week Support: 15.91 => -16.34%; Month Support: 15.93 => -16.45%; Day NWE: 12.61 => 7.81%; Week NWE: 10.67 => 22.0%; Month NWE: 7.31 => 46.54%)
OXSQ,4698,100,1.0,-3,1.34,-16.42,-16.42,-94.03,3.94,(Stock Name: Oxford Square Capital Corp.; Sector: Financial Services; Intrinsic: 1.32; Revenue: 4 cr; Net Profit: -4 cr; Recommended: none; Projected High: 1.75; Projected Medium: 1.75; Projected Low: 1.75; All time high: 13.11 => 90.0%; SMA 200: 1.78 => -33.08%; RSI: 41.06; Day Volatility: 3.94; Week Volatility: 16.63; Month Volatility: 23.13; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1.56 => -16.42%; Week Support: 1.56 => -16.42%; Month Support: 2.6 => -94.03%; Day NWE: 1.14 => 14.6%; Week NWE: 1.25 => 6.98%; Month NWE: 0.62 => 53.43%)
LGO,5037,100,1.0,-3,0.73,-16.44,-16.44,-89.04,9.0,(Stock Name: Largo Inc.; Sector: Basic Materials; Intrinsic: 1.65; Revenue: 11 cr; Net Profit: -7 cr; Recommended: none; Projected High: 2.8; Projected Medium: 2.8; Projected Low: 2.8; All time high: 59.0 => 99.0%; SMA 200: 1.26 => -72.44%; RSI: 26.36; Day Volatility: 9.0; Week Volatility: 20.03; Month Volatility: 62.84; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.85 => -16.44%; Week Support: 0.85 => -16.44%; Month Support: 1.38 => -89.04%; Day NWE: 0.54 => 25.67%; Week NWE: 0.53 => 27.11%; Month NWE: -5.39 => 838.52%)
NTNX,850,100,1.0,5,46.9,-16.55,-16.55,71.34,3.81,(Stock Name: Nutanix, Inc.; Sector: Technology; Intrinsic: -2.72; Revenue: 275 cr; Net Profit: 28 cr; Recommended: buy; Projected High: 65.0; Projected Medium: 60.0; Projected Low: 40.17; All time high: 83.36 => 44.0%; SMA 200: 52.28 => -11.48%; RSI: 45.1; Day Volatility: 3.81; Week Volatility: 10.67; Month Volatility: 20.28; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 54.66 => -16.55%; Week Support: 54.66 => -16.55%; Month Support: 13.44 => 71.34%; Day NWE: 44.35 => 5.43%; Week NWE: 30.96 => 33.99%; Month NWE: 25.87 => 44.83%)
OLED,1606,100,1.0,4,88.94,-16.6,-16.6,-0.53,4.23,(Stock Name: Universal Display Corporation; Sector: Technology; Intrinsic: 36.45; Revenue: 63 cr; Net Profit: 21 cr; Recommended: buy; Projected High: 168.0; Projected Medium: 130.0; Projected Low: 100.0; All time high: 262.77 => 66.0%; SMA 200: 114.97 => -29.27%; RSI: 46.96; Day Volatility: 4.23; Week Volatility: 9.16; Month Volatility: 20.07; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 103.7 => -16.6%; Week Support: 103.7 => -16.6%; Month Support: 89.41 => -0.53%; Day NWE: 78.37 => 11.88%; Week NWE: 64.13 => 27.9%; Month NWE: 50.85 => 42.82%)
ACB,4441,100,1.0,-2,2.93,-16.79,-16.79,-16.79,6.01,(Stock Name: Aurora Cannabis Inc.; Sector: Healthcare; Intrinsic: 6.77; Revenue: 32 cr; Net Profit: -6 cr; Recommended: buy; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 1503.0 => 100.0%; SMA 200: 4.16 => -42.09%; RSI: 32.46; Day Volatility: 6.01; Week Volatility: 12.14; Month Volatility: 31.32; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 3.42 => -16.79%; Week Support: 3.42 => -16.79%; Month Support: 3.42 => -16.79%; Day NWE: 2.75 => 6.05%; Week NWE: 2.15 => 26.54%; Month NWE: -5.05 => 272.23%)
MNSO,1715,100,1.0,4,11.94,-16.79,-16.79,-4.77,2.59,(Stock Name: MINISO Group Holding Limited; Sector: Consumer Cyclical; Intrinsic: 5.34; Revenue: 2271 cr; Net Profit: 204 cr; Recommended: none; Projected High: 23.82722; Projected Medium: 20.69737; Projected Low: 16.01224; All time high: 35.21 => 66.0%; SMA 200: 18.61 => -55.9%; RSI: 26.9; Day Volatility: 2.59; Week Volatility: 7.8; Month Volatility: 18.47; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 13.94 => -16.79%; Week Support: 13.94 => -16.79%; Month Support: 12.51 => -4.77%; Day NWE: 11.35 => 4.94%; Week NWE: 9.24 => 22.57%; Month NWE: 0.0 => 100.0%)
PINS,1004,100,1.0,5,20.27,-16.82,-16.82,20.37,4.93,(Stock Name: Pinterest, Inc.; Sector: Communication Services; Intrinsic: 4.97; Revenue: 437 cr; Net Profit: 33 cr; Recommended: buy; Projected High: 42.0; Projected Medium: 27.0; Projected Low: 21.0; All time high: 89.9 => 77.0%; SMA 200: 24.64 => -21.57%; RSI: 47.23; Day Volatility: 4.93; Week Volatility: 12.16; Month Volatility: 23.61; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 23.68 => -16.82%; Week Support: 23.68 => -16.82%; Month Support: 16.14 => 20.37%; Day NWE: 17.77 => 12.32%; Week NWE: 11.77 => 41.95%; Month NWE: 0.0 => 100.0%)
KREF,3474,100,1.0,-3,7.06,-17.28,-17.28,3.12,3.17,(Stock Name: KKR Real Estate Finance Trust I; Sector: Real Estate; Intrinsic: 12.1; Revenue: -3 cr; Net Profit: -12 cr; Recommended: hold; Projected High: 7.0; Projected Medium: 6.5; Projected Low: 6.0; All time high: 23.99 => 71.0%; SMA 200: 7.7 => -9.01%; RSI: 56.79; Day Volatility: 3.17; Week Volatility: 5.8; Month Volatility: 16.7; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 8.28 => -17.28%; Week Support: 8.28 => -17.28%; Month Support: 6.84 => 3.12%; Day NWE: 6.25 => 11.52%; Week NWE: 5.06 => 28.35%; Month NWE: 4.48 => 36.54%)
RXRX,2335,100,1.0,-3,3.23,-17.34,-17.34,-40.56,6.26,(Stock Name: Recursion Pharmaceuticals, Inc.; Sector: Healthcare; Intrinsic: 1.93; Revenue: 7 cr; Net Profit: -56 cr; Recommended: none; Projected High: 10.0; Projected Medium: 6.0; Projected Low: 3.0; All time high: 42.81 => 92.0%; SMA 200: 4.15 => -28.58%; RSI: 48.91; Day Volatility: 6.26; Week Volatility: 16.89; Month Volatility: 32.71; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 3.79 => -17.34%; Week Support: 3.79 => -17.34%; Month Support: 4.54 => -40.56%; Day NWE: 2.67 => 17.25%; Week NWE: 1.59 => 50.83%; Month NWE: 0.0 => 100.0%)
GLAD,3544,100,1.0,3,18.69,-17.5,-17.5,12.15,2.27,(Stock Name: Gladstone Capital Corporation; Sector: Financial Services; Intrinsic: 21.36; Revenue: 10 cr; Net Profit: 4 cr; Recommended: none; Projected High: 22.0; Projected Medium: 22.0; Projected Low: 22.0; All time high: 30.43 => 39.0%; SMA 200: 19.87 => -6.33%; RSI: 42.67; Day Volatility: 2.27; Week Volatility: 4.47; Month Volatility: 10.17; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 21.96 => -17.5%; Week Support: 21.96 => -17.5%; Month Support: 16.42 => 12.15%; Day NWE: 17.96 => 3.88%; Week NWE: 15.25 => 18.39%; Month NWE: 16.22 => 13.19%)
IP,662,100,1.0,1,36.82,-17.52,-17.52,21.21,5.0,(Stock Name: International Paper Company; Sector: Consumer Cyclical; Intrinsic: 27.97; Revenue: 2434 cr; Net Profit: -264 cr; Recommended: buy; Projected High: 45.0; Projected Medium: 39.0; Projected Low: 32.0; All time high: 63.39 => 42.0%; SMA 200: 39.78 => -8.05%; RSI: 63.27; Day Volatility: 5.0; Week Volatility: 7.68; Month Volatility: 18.85; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 43.27 => -17.52%; Week Support: 43.27 => -17.52%; Month Support: 29.01 => 21.21%; Day NWE: 29.3 => 20.43%; Week NWE: 26.17 => 28.92%; Month NWE: 27.5 => 25.31%)
RBBN,3482,100,1.0,1,2.56,-17.58,-17.58,30.47,4.8,(Stock Name: Ribbon Communications Inc.; Sector: Technology; Intrinsic: 2.39; Revenue: 83 cr; Net Profit: 3 cr; Recommended: strong_buy; Projected High: 4.0; Projected Medium: 4.0; Projected Low: 3.0; All time high: 21.25 => 88.0%; SMA 200: 2.89 => -12.91%; RSI: 41.44; Day Volatility: 4.8; Week Volatility: 14.37; Month Volatility: 27.54; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 3.01 => -17.58%; Week Support: 3.01 => -17.58%; Month Support: 1.78 => 30.47%; Day NWE: 2.32 => 9.23%; Week NWE: 1.83 => 28.68%; Month NWE: 0.94 => 63.35%)
ARQ,4720,100,1.0,-2,2.84,-17.61,-17.61,58.8,4.88,(Stock Name: Arq, Inc.; Sector: Industrials; Intrinsic: 3.91; Revenue: 12 cr; Net Profit: -5 cr; Recommended: none; Projected High: 6.0; Projected Medium: 3.25; Projected Low: 3.0; All time high: 29.17 => 90.0%; SMA 200: 3.94 => -38.81%; RSI: 63.25; Day Volatility: 4.88; Week Volatility: 11.42; Month Volatility: 28.57; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 3.34 => -17.61%; Week Support: 3.34 => -17.61%; Month Support: 1.17 => 58.8%; Day NWE: 2.2 => 22.53%; Week NWE: 0.55 => 80.72%; Month NWE: 0.37 => 86.87%)
LZ,2828,100,1.0,3,5.5,-17.64,-17.64,3.09,5.22,(Stock Name: LegalZoom.com, Inc.; Sector: Industrials; Intrinsic: 0.85; Revenue: 78 cr; Net Profit: 1 cr; Recommended: buy; Projected High: 11.0; Projected Medium: 8.25; Projected Low: 6.5; All time high: 40.94 => 87.0%; SMA 200: 8.25 => -49.95%; RSI: 35.84; Day Volatility: 5.22; Week Volatility: 14.42; Month Volatility: 32.26; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 6.47 => -17.64%; Week Support: 6.47 => -17.64%; Month Support: 5.33 => 3.09%; Day NWE: 4.88 => 11.33%; Week NWE: 4.03 => 26.65%; Month NWE: 0.0 => 100.0%)
SKIN,4934,100,1.0,-3,0.66,-17.65,-17.65,-17.65,6.84,(Stock Name: SkinHealth Systems Inc.; Sector: Consumer Defensive; Intrinsic: 0.48; Revenue: 30 cr; Net Profit: -1 cr; Recommended: none; Projected High: 2.0; Projected Medium: 1.025; Projected Low: 1.0; All time high: 30.17 => 98.0%; SMA 200: 1.27 => -92.09%; RSI: 45.54; Day Volatility: 6.84; Week Volatility: 25.5; Month Volatility: 57.25; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.78 => -17.65%; Week Support: 0.78 => -17.65%; Month Support: 0.78 => -17.65%; Day NWE: 0.4 => 39.4%; Week NWE: 0.16 => 75.26%; Month NWE: 0.0 => 100.0%)
PFLT,3032,100,1.0,2,7.48,-17.91,-17.91,-29.55,2.68,(Stock Name: PennantPark Floating Rate Capit; Sector: Financial Services; Intrinsic: 10.49; Revenue: 27 cr; Net Profit: 6 cr; Recommended: none; Projected High: 11.0; Projected Medium: 10.0; Projected Low: 9.0; All time high: 15.02 => 50.0%; SMA 200: 8.88 => -18.74%; RSI: 30.32; Day Volatility: 2.68; Week Volatility: 5.37; Month Volatility: 12.49; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 8.82 => -17.91%; Week Support: 8.82 => -17.91%; Month Support: 9.69 => -29.55%; Day NWE: 7.27 => 2.82%; Week NWE: 7.36 => 1.62%; Month NWE: 6.56 => 12.25%)
VTS,3130,100,1.0,-2,16.01,-18.06,-18.06,,3.5,(Stock Name: Vitesse Energy, Inc.; Sector: Energy; Intrinsic: 14.02; Revenue: 25 cr; Net Profit: -2 cr; Recommended: none; Projected High: 28.0; Projected Medium: 23.5; Projected Low: 20.0; All time high: 28.41 => 44.0%; SMA 200: 20.36 => -27.18%; RSI: 33.8; Day Volatility: 3.5; Week Volatility: 6.93; Month Volatility: 17.07; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 18.9 => -18.06%; Week Support: 18.9 => -18.06%; Month Support: 0.0 => 100.0%; Day NWE: 15.24 => 4.8%; Week NWE: 14.31 => 10.59%; Month NWE: 0.0 => 100.0%)
FICO,551,100,1.0,5,1096.48,-18.56,-18.56,68.95,4.58,(Stock Name: Fair Isaac Corporation; Sector: Technology; Intrinsic: -90.22; Revenue: 226 cr; Net Profit: 76 cr; Recommended: buy; Projected High: 2400.0; Projected Medium: 1546.0; Projected Low: 707.0; All time high: 2402.52 => 54.0%; SMA 200: 1429.77 => -30.4%; RSI: 39.32; Day Volatility: 4.58; Week Volatility: 11.86; Month Volatility: 26.96; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1300.0 => -18.56%; Week Support: 1300.0 => -18.56%; Month Support: 340.48 => 68.95%; Day NWE: 989.18 => 9.79%; Week NWE: 704.04 => 35.79%; Month NWE: 1075.41 => 1.92%)
ESTC,1302,100,1.0,4,58.97,-18.96,-18.96,-17.01,4.89,(Stock Name: Elastic N.V.; Sector: Technology; Intrinsic: 12.19; Revenue: 174 cr; Net Profit: 37 cr; Recommended: buy; Projected High: 120.0; Projected Medium: 72.0; Projected Low: 53.0; All time high: 189.84 => 69.0%; SMA 200: 68.24 => -15.72%; RSI: 51.38; Day Volatility: 4.89; Week Volatility: 11.47; Month Volatility: 22.44; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 70.15 => -18.96%; Week Support: 70.15 => -18.96%; Month Support: 69.0 => -17.01%; Day NWE: 52.59 => 10.81%; Week NWE: 32.13 => 45.51%; Month NWE: 0.0 => 100.0%)
CTXR,5762,100,1.0,-1,0.55,-19.05,-19.05,-1731.5,6.48,(Stock Name: Citius Pharmaceuticals, Inc.; Sector: Healthcare; Intrinsic: 2.75; Revenue: 1 cr; Net Profit: -5 cr; Recommended: none; Projected High: 4.0; Projected Medium: 4.0; Projected Low: 4.0; All time high: 937.5 => 100.0%; SMA 200: 0.96 => -74.91%; RSI: 40.13; Day Volatility: 6.48; Week Volatility: 22.25; Month Volatility: 68.68; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.65 => -19.05%; Week Support: 0.65 => -19.05%; Month Support: 10.0 => -1731.5%; Day NWE: 0.4 => 26.21%; Week NWE: -2.97 => 643.61%; Month NWE: -10.33 => 1991.49%)
BRLT,5722,100,1.0,-2,1.05,-19.05,-19.05,-19.05,5.99,(Stock Name: Brilliant Earth Group, Inc.; Sector: Consumer Cyclical; Intrinsic: 0.71; Revenue: 44 cr; Net Profit: 0 cr; Recommended: none; Projected High: 2.0; Projected Medium: 1.54; Projected Low: 1.5; All time high: 20.39 => 95.0%; SMA 200: 1.74 => -65.83%; RSI: 29.07; Day Volatility: 5.99; Week Volatility: 15.99; Month Volatility: 33.88; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1.25 => -19.05%; Week Support: 1.25 => -19.05%; Month Support: 1.25 => -19.05%; Day NWE: 1.0 => 4.29%; Week NWE: 0.68 => 35.43%; Month NWE: 0.0 => 100.0%)
BRZE,2104,100,1.0,0,20.06,-19.19,-19.19,-12.34,5.56,(Stock Name: Braze, Inc.; Sector: Technology; Intrinsic: 5.2; Revenue: 79 cr; Net Profit: -12 cr; Recommended: strong_buy; Projected High: 50.0; Projected Medium: 32.5; Projected Low: 27.0; All time high: 98.78 => 80.0%; SMA 200: 25.37 => -26.46%; RSI: 38.34; Day Volatility: 5.56; Week Volatility: 19.23; Month Volatility: 42.19; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 23.91 => -19.19%; Week Support: 23.91 => -19.19%; Month Support: 22.53 => -12.34%; Day NWE: 17.3 => 13.74%; Week NWE: 12.57 => 37.31%; Month NWE: 0.0 => 100.0%)
QTRX,4540,100,1.0,-1,3.39,-19.47,-19.47,-86.14,8.18,(Stock Name: Quanterix Corporation; Sector: Healthcare; Intrinsic: 6.0; Revenue: 14 cr; Net Profit: -10 cr; Recommended: hold; Projected High: 5.0; Projected Medium: 4.0; Projected Low: 4.0; All time high: 92.57 => 96.0%; SMA 200: 5.14 => -51.48%; RSI: 56.9; Day Volatility: 8.18; Week Volatility: 19.81; Month Volatility: 50.23; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 4.05 => -19.47%; Week Support: 4.05 => -19.47%; Month Support: 6.31 => -86.14%; Day NWE: 2.1 => 38.01%; Week NWE: 0.46 => 86.39%; Month NWE: -1.05 => 130.91%)
ELTX,5043,100,1.0,-3,3.85,-19.48,-19.48,23.12,44.3,
BMI,1643,100,1.0,2,135.5,-19.68,-19.68,45.98,3.36,(Stock Name: Badger Meter, Inc.; Sector: Technology; Intrinsic: 23.66; Revenue: 90 cr; Net Profit: 13 cr; Recommended: buy; Projected High: 169.0; Projected Medium: 160.0; Projected Low: 110.0; All time high: 256.08 => 47.0%; SMA 200: 159.05 => -17.38%; RSI: 62.82; Day Volatility: 3.36; Week Volatility: 6.36; Month Volatility: 18.12; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 162.17 => -19.68%; Week Support: 162.17 => -19.68%; Month Support: 73.2 => 45.98%; Day NWE: 113.34 => 16.36%; Week NWE: 94.67 => 30.14%; Month NWE: 124.47 => 8.14%)
ROCK,2635,100,1.0,-1,40.9,-19.71,-19.71,10.56,4.76,(Stock Name: Gibraltar Industries, Inc.; Sector: Industrials; Intrinsic: 29.69; Revenue: 125 cr; Net Profit: 6 cr; Recommended: none; Projected High: 86.0; Projected Medium: 65.0; Projected Low: 55.0; All time high: 103.02 => 60.0%; SMA 200: 49.84 => -21.86%; RSI: 57.65; Day Volatility: 4.76; Week Volatility: 9.27; Month Volatility: 19.71; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 48.96 => -19.71%; Week Support: 48.96 => -19.71%; Month Support: 36.58 => 10.56%; Day NWE: 34.57 => 15.48%; Week NWE: 29.53 => 27.8%; Month NWE: 29.71 => 27.37%)
CGBD,3009,100,1.0,3,10.95,-19.82,-19.82,-2.56,2.14,(Stock Name: Carlyle Secured Lending, Inc.; Sector: Financial Services; Intrinsic: 15.89; Revenue: 26 cr; Net Profit: 5 cr; Recommended: none; Projected High: 14.0; Projected Medium: 12.5; Projected Low: 10.0; All time high: 20.3 => 46.0%; SMA 200: 12.01 => -9.64%; RSI: 49.13; Day Volatility: 2.14; Week Volatility: 5.09; Month Volatility: 10.11; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 13.12 => -19.82%; Week Support: 13.12 => -19.82%; Month Support: 11.23 => -2.56%; Day NWE: 10.12 => 7.61%; Week NWE: 9.39 => 14.25%; Month NWE: 7.28 => 33.47%)
BMBL,3644,100,1.0,-3,2.96,-19.93,-19.93,-420.61,4.95,(Stock Name: Bumble Inc.; Sector: Communication Services; Intrinsic: 4.73; Revenue: 93 cr; Net Profit: -62 cr; Recommended: hold; Projected High: 5.0; Projected Medium: 4.25; Projected Low: 3.5; All time high: 84.8 => 97.0%; SMA 200: 4.06 => -37.01%; RSI: 44.54; Day Volatility: 4.95; Week Volatility: 15.56; Month Volatility: 33.4; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 3.55 => -19.93%; Week Support: 3.55 => -19.93%; Month Support: 15.41 => -420.61%; Day NWE: 2.18 => 26.32%; Week NWE: 0.88 => 70.22%; Month NWE: 0.0 => 100.0%)
