[Equity Support - Nearing List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Day Gap%,Week Gap%,Month Gap%,Volatility%,Details
EARN,4515,100,1.0,-3,4.39,1.37,1.37,1.37,2.64,(Stock Name: Ellington Credit Company; Sector: Financial Services; Intrinsic: 4.09; Revenue: 4 cr; Net Profit: -4 cr; Recommended: none; Projected High: 5.25; Projected Medium: 5.25; Projected Low: 5.25; All time high: 19.85 => 78.0%; SMA 200: 5.08 => -15.61%; RSI: 33.6; Day Volatility: 2.64; Week Volatility: 5.43; Month Volatility: 11.39; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 4.33 => 1.37%; Week Support: 4.33 => 1.37%; Month Support: 4.33 => 1.37%; Day NWE: 4.24 => 3.44%; Week NWE: 4.12 => 6.25%; Month NWE: 3.15 => 28.35%)
EPRT,1277,100,1.0,4,29.36,1.4,1.4,30.21,2.37,(Stock Name: Essential Properties Realty Tru; Sector: Real Estate; Intrinsic: 20.3; Revenue: 59 cr; Net Profit: 26 cr; Recommended: strong_buy; Projected High: 40.0; Projected Medium: 37.0; Projected Low: 33.0; All time high: 34.88 => 16.0%; SMA 200: 30.99 => -5.56%; RSI: 37.47; Day Volatility: 2.37; Week Volatility: 4.25; Month Volatility: 9.95; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 28.95 => 1.4%; Week Support: 28.95 => 1.4%; Month Support: 20.49 => 30.21%; Day NWE: 28.08 => 4.35%; Week NWE: 28.59 => 2.62%; Month NWE: 0.0 => 100.0%)
GPN,685,100,1.0,1,66.88,1.42,1.42,1.42,4.39,(Stock Name: Global Payments Inc.; Sector: Industrials; Intrinsic: 87.03; Revenue: 886 cr; Net Profit: 63 cr; Recommended: buy; Projected High: 194.0; Projected Medium: 82.0; Projected Low: 60.0; All time high: 220.81 => 70.0%; SMA 200: 75.8 => -13.33%; RSI: 45.54; Day Volatility: 4.39; Week Volatility: 9.47; Month Volatility: 18.21; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 65.93 => 1.42%; Week Support: 65.93 => 1.42%; Month Support: 65.93 => 1.42%; Day NWE: 59.57 => 10.93%; Week NWE: 54.83 => 18.01%; Month NWE: 38.03 => 43.13%)
CVLT,1401,100,1.0,4,130.03,1.51,1.51,61.35,4.67,(Stock Name: Commvault Systems, Inc.; Sector: Technology; Intrinsic: 0.18; Revenue: 118 cr; Net Profit: 7 cr; Recommended: buy; Projected High: 175.0; Projected Medium: 133.0; Projected Low: 100.0; All time high: 200.68 => 35.0%; SMA 200: 121.16 => 6.82%; RSI: 73.55; Day Volatility: 4.67; Week Volatility: 7.79; Month Volatility: 17.08; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 128.07 => 1.51%; Week Support: 128.07 => 1.51%; Month Support: 50.26 => 61.35%; Day NWE: 106.37 => 18.19%; Week NWE: 67.58 => 48.03%; Month NWE: 89.92 => 30.84%)
AVY,870,100,1.0,4,158.68,1.54,1.54,4.45,2.53,(Stock Name: Avery Dennison Corporation; Sector: Consumer Cyclical; Intrinsic: 30.01; Revenue: 901 cr; Net Profit: 69 cr; Recommended: none; Projected High: 221.0; Projected Medium: 201.0; Projected Low: 175.0; All time high: 233.48 => 32.0%; SMA 200: 172.61 => -8.78%; RSI: 48.69; Day Volatility: 2.53; Week Volatility: 4.68; Month Volatility: 10.84; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 156.23 => 1.54%; Week Support: 156.23 => 1.54%; Month Support: 151.62 => 4.45%; Day NWE: 147.06 => 7.32%; Week NWE: 143.13 => 9.8%; Month NWE: 135.74 => 14.45%)
DLHC,4998,100,1.0,-3,5.5,1.64,1.64,50.55,0.88,(Stock Name: DLH Holdings Corp.; Sector: Industrials; Intrinsic: 7.61; Revenue: 29 cr; Net Profit: 0 cr; Recommended: none; Projected High: 10.0; Projected Medium: 10.0; Projected Low: 10.0; All time high: 21.49 => 74.0%; SMA 200: 5.76 => -4.78%; RSI: 43.71; Day Volatility: 0.88; Week Volatility: 3.74; Month Volatility: 12.16; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 5.41 => 1.64%; Week Support: 5.41 => 1.64%; Month Support: 2.72 => 50.55%; Day NWE: 5.16 => 6.19%; Week NWE: 4.06 => 26.11%; Month NWE: 1.45 => 73.55%)
RSG,295,100,1.0,4,204.94,1.72,1.72,68.1,1.78,(Stock Name: Republic Services, Inc.; Sector: Industrials; Intrinsic: 38.9; Revenue: 1670 cr; Net Profit: 217 cr; Recommended: buy; Projected High: 270.0; Projected Medium: 248.0; Projected Low: 200.0; All time high: 258.75 => 21.0%; SMA 200: 216.01 => -5.4%; RSI: 45.94; Day Volatility: 1.78; Week Volatility: 5.31; Month Volatility: 8.86; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 201.42 => 1.72%; Week Support: 201.42 => 1.72%; Month Support: 65.37 => 68.1%; Day NWE: 196.97 => 3.89%; Week NWE: 189.44 => 7.56%; Month NWE: 188.44 => 8.05%)
ATRC,2475,100,1.0,-1,28.8,1.77,1.77,34.24,4.44,(Stock Name: AtriCure, Inc.; Sector: Healthcare; Intrinsic: 9.71; Revenue: 55 cr; Net Profit: 0 cr; Recommended: none; Projected High: 55.0; Projected Medium: 47.5; Projected Low: 36.0; All time high: 89.18 => 68.0%; SMA 200: 33.44 => -16.1%; RSI: 55.92; Day Volatility: 4.44; Week Volatility: 9.16; Month Volatility: 19.67; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 28.29 => 1.77%; Week Support: 28.29 => 1.77%; Month Support: 18.94 => 34.24%; Day NWE: 24.72 => 14.17%; Week NWE: 20.82 => 27.72%; Month NWE: 15.11 => 47.55%)
IBN,170,100,1.0,5,27.94,1.86,1.86,75.45,1.39,(Stock Name: ICICI Bank Limited; Sector: Financial Services; Intrinsic: 10.66; Revenue: 217451 cr; Net Profit: 54208 cr; Recommended: none; Projected High: 37.0; Projected Medium: 35.25; Projected Low: 34.0; All time high: 34.57 => 19.0%; SMA 200: 29.28 => -4.81%; RSI: 64.96; Day Volatility: 1.39; Week Volatility: 4.1; Month Volatility: 10.93; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 27.42 => 1.86%; Week Support: 27.42 => 1.86%; Month Support: 6.86 => 75.45%; Day NWE: 24.68 => 11.68%; Week NWE: 24.04 => 13.96%; Month NWE: 24.42 => 12.61%)
MKL,587,100,1.0,3,1847.16,1.89,1.89,42.39,1.71,(Stock Name: Markel Group Inc.; Sector: Financial Services; Intrinsic: 1440.23; Revenue: 1601 cr; Net Profit: 175 cr; Recommended: none; Projected High: 2107.0; Projected Medium: 1990.0; Projected Low: 1880.0; All time high: 2207.59 => 16.0%; SMA 200: 1972.28 => -6.77%; RSI: 51.97; Day Volatility: 1.71; Week Volatility: 3.41; Month Volatility: 10.27; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1812.24 => 1.89%; Week Support: 1812.24 => 1.89%; Month Support: 1064.09 => 42.39%; Day NWE: 1731.55 => 6.26%; Week NWE: 1699.43 => 8.0%; Month NWE: 1702.14 => 7.85%)
