[Equity Underperform - Extreme Low Priced Stock List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Recommended,Intrinsic,Intrinsic Gap%,All time high,ATH Gap%,Volatility%,Details
COTY,2326,100,1.0,-3,1.95,hold,3.51,44.0,32.72,94.0,4.91,(Stock Name: Coty Inc.; Sector: Consumer Defensive; Intrinsic: 3.51; Revenue: 579 cr; Net Profit: -55 cr; Recommended: hold; Projected High: 8.0; Projected Medium: 2.6; Projected Low: 1.5; All time high: 32.72 => 94.0%; SMA 200: 3.0 => -53.73%; RSI: 42.96; Day Volatility: 4.91; Week Volatility: 14.73; Month Volatility: 30.84; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 9.02 => -362.56%; Month Support: 5.9 => -202.56%; Day NWE: 1.59 => 18.33%; Week NWE: 0.77 => 60.76%; Month NWE: -0.63 => 132.46%)
KMPR,2461,100,1.0,1,25.03,none,45.05,44.0,91.98,73.0,3.85,(Stock Name: Kemper Corporation; Sector: Financial Services; Intrinsic: 45.05; Revenue: 470 cr; Net Profit: 4 cr; Recommended: none; Projected High: 81.0; Projected Medium: 44.0; Projected Low: 28.0; All time high: 91.98 => 73.0%; SMA 200: 37.52 => -49.89%; RSI: 39.51; Day Volatility: 3.85; Week Volatility: 12.71; Month Volatility: 21.76; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 38.32 => -53.1%; Month Support: 38.32 => -53.1%; Day NWE: 21.1 => 15.68%; Week NWE: 19.92 => 20.43%; Month NWE: 21.74 => 13.13%)
GTM,2938,100,1.0,2,2.81,hold,4.98,44.0,79.17,96.0,6.44,(Stock Name: ZoomInfo Technologies Inc.; Sector: Technology; Intrinsic: 4.98; Revenue: 125 cr; Net Profit: 13 cr; Recommended: hold; Projected High: 15.0; Projected Medium: 4.0; Projected Low: 2.5; All time high: 79.17 => 96.0%; SMA 200: 7.97 => -183.68%; RSI: 31.94; Day Volatility: 6.44; Week Volatility: 31.94; Month Volatility: 68.44; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 7.01 => -149.47%; Week Support: 7.01 => -149.47%; Month Support: 0.0 => 100.0%; Day NWE: 1.4 => 50.04%; Week NWE: 2.17 => 22.82%; Month NWE: 0.0 => 100.0%)
PSFE,3764,100,1.0,-1,6.78,none,12.02,44.0,234.79,97.0,5.45,(Stock Name: Paysafe Limited; Sector: Technology; Intrinsic: 12.02; Revenue: 174 cr; Net Profit: -20 cr; Recommended: none; Projected High: 12.0; Projected Medium: 10.0; Projected Low: 7.5; All time high: 234.79 => 97.0%; SMA 200: 8.81 => -30.0%; RSI: 39.16; Day Volatility: 5.45; Week Volatility: 16.84; Month Volatility: 30.0; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 9.25 => -36.43%; Month Support: 9.25 => -36.43%; Day NWE: 5.74 => 15.32%; Week NWE: 3.35 => 50.55%; Month NWE: 0.0 => 100.0%)
TUSK,4600,100,1.0,5,3.03,none,5.46,44.0,42.3,93.0,6.54,(Stock Name: Mammoth Energy Services, Inc.; Sector: Industrials; Intrinsic: 5.46; Revenue: 5 cr; Net Profit: -6 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 42.3 => 93.0%; SMA 200: 2.38 => 21.51%; RSI: 45.3; Day Volatility: 6.54; Week Volatility: 19.57; Month Volatility: 27.27; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1.72 => 43.4%; Week Support: 1.72 => 43.4%; Month Support: 1.68 => 44.55%; Day NWE: 2.82 => 7.05%; Week NWE: 2.06 => 32.14%; Month NWE: 1.09 => 64.13%)
STEX,4881,100,1.0,-3,0.92,none,1.63,44.0,124.3,99.0,10.36,
ACET,5027,100,1.0,-3,8.1,strong_buy,14.59,44.0,2362.86,100.0,4.99,
QTRX,4540,100,1.0,-1,3.39,hold,6.0,43.0,92.57,96.0,8.18,(Stock Name: Quanterix Corporation; Sector: Healthcare; Intrinsic: 6.0; Revenue: 14 cr; Net Profit: -10 cr; Recommended: hold; Projected High: 5.0; Projected Medium: 4.0; Projected Low: 4.0; All time high: 92.57 => 96.0%; SMA 200: 5.14 => -51.48%; RSI: 56.9; Day Volatility: 8.18; Week Volatility: 19.81; Month Volatility: 50.23; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 4.05 => -19.47%; Week Support: 4.05 => -19.47%; Month Support: 6.31 => -86.14%; Day NWE: 2.1 => 38.01%; Week NWE: 0.46 => 86.39%; Month NWE: -1.05 => 130.91%)
ATOS,5664,100,1.0,-3,2.01,strong_buy,3.54,43.0,33480.0,100.0,10.87,
GRCE,5401,100,1.0,-3,2.38,strong_buy,4.19,43.0,2016.0,100.0,5.28,
CBAT,5164,100,1.0,-1,0.68,none,1.19,43.0,15.85,96.0,6.72,(Stock Name: CBAK Energy Technology, Inc.; Sector: Industrials; Intrinsic: 1.19; Revenue: 23 cr; Net Profit: -2 cr; Recommended: none; Projected High: 1.5; Projected Medium: 1.5; Projected Low: 1.5; All time high: 15.85 => 96.0%; SMA 200: 0.88 => -28.69%; RSI: 34.25; Day Volatility: 6.72; Week Volatility: 11.91; Month Volatility: 25.5; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.57 => 16.18%; Week Support: 0.57 => 16.18%; Month Support: 0.57 => 16.18%; Day NWE: 0.6 => 11.63%; Week NWE: 0.55 => 19.48%; Month NWE: -0.55 => 181.52%)
MED,4717,100,1.0,-3,11.04,none,19.28,43.0,336.99,97.0,3.48,(Stock Name: MEDIFAST INC; Sector: Consumer Cyclical; Intrinsic: 19.28; Revenue: 35 cr; Net Profit: -2 cr; Recommended: none; Projected High: 12.0; Projected Medium: 12.0; Projected Low: 12.0; All time high: 336.99 => 97.0%; SMA 200: 11.72 => -6.16%; RSI: 32.23; Day Volatility: 3.48; Week Volatility: 10.9; Month Volatility: 18.17; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 11.57 => -4.8%; Week Support: 11.57 => -4.8%; Month Support: 49.03 => -344.11%; Day NWE: 10.81 => 2.09%; Week NWE: 8.69 => 21.24%; Month NWE: -69.15 => 726.37%)
FBRT,3158,100,1.0,2,8.43,none,14.67,43.0,17.74,52.0,2.63,(Stock Name: Franklin BSP Realty Trust, Inc.; Sector: Real Estate; Intrinsic: 14.67; Revenue: 29 cr; Net Profit: 4 cr; Recommended: none; Projected High: 16.0; Projected Medium: 12.5; Projected Low: 11.0; All time high: 17.74 => 52.0%; SMA 200: 9.79 => -16.08%; RSI: 47.07; Day Volatility: 2.63; Week Volatility: 5.32; Month Volatility: 13.37; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 11.99 => -42.23%; Month Support: 10.34 => -22.66%; Day NWE: 7.68 => 8.88%; Week NWE: 7.61 => 9.76%; Month NWE: 0.0 => 100.0%)
SEVN,4421,100,1.0,1,8.2,none,14.47,43.0,23.44,65.0,2.16,(Stock Name: Seven Hills Realty Trust; Sector: Real Estate; Intrinsic: 14.47; Revenue: 3 cr; Net Profit: 2 cr; Recommended: none; Projected High: 11.5; Projected Medium: 10.0; Projected Low: 9.5; All time high: 23.44 => 65.0%; SMA 200: 9.01 => -9.92%; RSI: 41.64; Day Volatility: 2.16; Week Volatility: 4.25; Month Volatility: 9.86; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 8.57 => -4.51%; Month Support: 8.57 => -4.51%; Day NWE: 8.01 => 2.26%; Week NWE: 7.14 => 12.92%; Month NWE: 5.95 => 27.39%)
GORO,4303,100,1.0,1,1.33,none,2.35,43.0,31.38,96.0,3.97,(Stock Name: Gold Resource Corporation; Sector: Basic Materials; Intrinsic: 2.35; Revenue: 13 cr; Net Profit: 1 cr; Recommended: none; Projected High: 1.75; Projected Medium: 1.75; Projected Low: 1.75; All time high: 31.38 => 96.0%; SMA 200: 1.12 => 15.59%; RSI: 53.8; Day Volatility: 3.97; Week Volatility: 11.92; Month Volatility: 38.56; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 0.12 => 90.98%; Month Support: 0.12 => 90.98%; Day NWE: 0.95 => 28.72%; Week NWE: 0.99 => 25.41%; Month NWE: -0.23 => 117.43%)
PRAA,3274,100,1.0,-1,14.94,none,26.28,43.0,65.0,77.0,5.23,(Stock Name: PRA Group, Inc.; Sector: Financial Services; Intrinsic: 26.28; Revenue: 125 cr; Net Profit: -28 cr; Recommended: none; Projected High: 26.0; Projected Medium: 26.0; Projected Low: 26.0; All time high: 65.0 => 77.0%; SMA 200: 16.16 => -8.16%; RSI: 41.31; Day Volatility: 5.23; Week Volatility: 18.51; Month Volatility: 33.1; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 12.91 => 13.59%; Week Support: 12.91 => 13.59%; Month Support: 11.85 => 20.68%; Day NWE: 11.0 => 26.34%; Week NWE: 12.52 => 16.23%; Month NWE: 7.19 => 51.84%)
