NVDA,1,115,NVDA,175.64,100,1.0,6.472,1.0,2026-03-11,0.01,0.01,21,593 cr,12,006 cr,strong_buy,86.62,86.62,86.62,166.87,151.13,138.15,2.82,5.68,14.93,None,None,None,2025-11-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BABA,4455,4583,BABA,126.06,100,40.0,65.039566,40.0,2025-06-12,1.59,2.0,101,674 cr,9,281 cr,strong_buy,nan,66.63,66.63,116.11,118.15,102.33,2.96,9.44,24.08,None,None,None,2026-03-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AMD,4584,4744,AMD,202.68,100,32.0,38.65,32.0,None,nan,nan,3,463 cr,426 cr,buy,76.48,76.48,76.48,170.33,166.87,131.76,3.69,7.61,26.1,None,None,None,2026-02-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GE,4745,4859,GE,291.54,100,39.0,17.809,39.0,2026-03-09,0.16,0.47,4,585 cr,860 cr,strong_buy,159.36,159.36,37.34,281.16,270.88,223.32,2.87,6.93,14.1,None,None,None,2026-03-20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CSCO,4860,4938,CSCO,78.82,100,38.0,12.085,38.0,2026-01-02,0.52,0.41,5,905 cr,1,107 cr,buy,52.11,52.11,44.5,73.41,70.88,59.34,2.07,4.21,9.35,None,None,None,2026-02-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MRK,4939,5007,MRK,115.68,100,43.0,21.258,43.0,2026-03-16,0.73,0.85,6,501 cr,1,825 cr,buy,73.31,73.31,73.31,107.09,98.52,77.75,1.85,4.01,10.63,None,None,None,2025-04-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LRCX,5008,5122,LRCX,233.31,100,41.0,8.109,41.0,2026-03-04,0.11,0.26,2,056 cr,621 cr,buy,56.32,56.32,56.32,193.83,185.16,117.82,4.73,9.8,18.65,None,None,None,2026-03-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AMAT,5123,5315,AMAT,361.79,100,42.0,27.365,42.0,2026-02-19,0.13,0.46,2,821 cr,784 cr,buy,123.74,123.74,123.74,312.83,277.96,185.79,3.3,7.44,16.54,None,None,None,2026-03-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HSBC,5316,5352,HSBC,79.83,100,46.0,10.356,46.0,2026-03-13,2.82,2.25,6,322 cr,2,110 cr,strong_buy,nan,35.3,24.77,74.93,74.2,58.5,2.21,6.94,11.64,None,None,None,2026-03-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RTX,5353,5413,RTX,194.82,100,48.0,48.607,48.0,2026-02-20,0.35,0.68,8,860 cr,673 cr,none,112.27,112.27,68.56,192.55,177.93,140.4,2.55,5.33,9.78,None,None,None,2025-04-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PM,5414,5466,PM,163.24,100,53.0,-6.42,53.0,2026-03-19,0.9,1.47,4,064 cr,1,131 cr,buy,116.12,142.11,87.23,156.93,146.91,139.66,2.22,6.39,11.63,None,None,None,2026-03-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
UNH,5467,5629,UNH,269.54,100,57.0,103.874,57.0,2026-03-09,0.82,2.21,44,756 cr,1,205 cr,buy,234.6,234.6,436.38,252.53,195.13,236.71,2.55,4.8,15.86,None,None,None,2026-02-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SHEL,5630,5706,SHEL,90.71,100,52.0,30.495,52.0,2026-02-20,0.82,0.744,26,688 cr,1,783 cr,buy,58.54,58.54,58.54,83.85,75.31,61.17,1.81,3.98,7.71,None,None,None,2026-01-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
