[High Premium Options List]
Symbol,Rank,Rank,Lot,Intrinsic,ltp,Strike_Price,Call_Ask1%,Call_Ask2%,Call_Ask3%,Put_Ask1%,Put_Ask2%,Put_Ask3%,Day_Range,Week_Range,Month_Range
PETRONET,204,204,1,140.783,306.45,307.5,0.6,2.9000000000000004,,0.8999999999999999,2.5,,2.35,6.02,7.0
UNIONBANK,60,60,1,171.659,197.78,197.5,0.6,4.3999999999999995,,0.5,3.8,,3.1,7.52,9.86
PNBHOUSING,316,316,1,690.287,837.25,840,0.6,3.1,,0.8999999999999999,3.2,,2.58,7.96,15.69
CROMPTON,367,367,1,53.001,265.46,265,0.6,3.8,,0.5,2.7,,3.07,7.21,12.91
TORNTPHARM,65,65,1,249.467,4307.6,4300,0.6,3.2,,0.3,2.1999999999999997,,2.16,5.1,6.7
HCLTECH,18,18,1,272.02612,1426.2,1420,0.6,3.9,,0.5,3.5000000000000004,,3.03,8.48,11.96
CHOLAFIN,67,67,1,308.193,1689.8,1680,0.6,3.4000000000000004,4.2,0.3,2.4,,2.08,6.52,11.83
LTIM,68,68,1,799.109,4831.5,4850,0.6,3.3000000000000003,,0.8999999999999999,4.3,,3.16,10.24,14.58
MUTHOOTFIN,72,72,1,887.275,3473.2,3450,0.6,4.3,,0.2,3.3000000000000003,,3.86,9.93,12.51
HDFCBANK,2,2,1,367.081,923.6,925,0.6,2.4,,0.6,1.7999999999999998,,1.65,5.11,7.12
HAVELLS,124,124,1,138.35,1412.8,1410,0.5,2.8000000000000003,,0.6,2.1,,2.06,5.82,9.57
BHEL,123,123,1,70.292,258.25,257.5,0.5,4,,0.4,2.9000000000000004,,2.86,9.83,15.66
DELHIVERY,253,253,1,128.627,433.95,435,0.5,3.5999999999999996,,0.8,3.1,,2.24,7.6,12.87
OFSS,179,179,1,794.018,6669.5,6700,0.5,4.1000000000000005,,1.0999999999999999,4.7,,2.81,8.77,14.9
SBICARD,141,141,1,155.423,784.25,780,0.5,2.4,,0.6,3.3000000000000003,4.5,2.63,6.31,11.33
MPHASIS,210,210,1,533.51,2309.8,2300,0.5,4.7,,0.7000000000000001,4.2,,3.77,9.24,14.74
SAIL,161,161,1,140.573,156.68,157,0.5,3.1,,0.7000000000000001,0.3,,3.09,7.71,11.12
BDL,203,203,1,115.059,1275.6,1280,0.5,3.1,,1.2,6,,3.21,9.14,16.86
BIOCON,165,165,1,207.921,387.7,390,0.5,3.5999999999999996,0.8,1.0999999999999999,3.4000000000000004,,2.11,5.51,10.93
VOLTAS,196,196,1,191.311,1538.2,1540,0.5,3.4000000000000004,,0.7000000000000001,4.2,,2.16,6.91,11.71
PHOENIXLTD,171,171,1,301.724,1716.3,1720,0.5,3.1,,0.5,2,,2.47,6.62,11.59
GODREJPROP,187,187,1,607.988,1829.7,1820,0.5,4.3,,0.4,3.5000000000000004,,3.3,10.21,18.52
INDUSINDBK,146,146,1,835.417,919.75,920,0.5,3.5000000000000004,,0.8,2.8000000000000003,,2.46,6.33,9.75
JSWENERGY,126,126,1,166.968,486.4,485,0.5,3.3000000000000003,,0.5,2.1999999999999997,,2.82,6.3,13.09
TATACONSUM,93,93,1,205.423,1171.8,1170,0.5,3,,0.5,2.1999999999999997,,1.91,5.8,7.38
MARICO,107,107,1,31.258,801.45,800,0.5,2.9000000000000004,,0.3,2.1999999999999997,,2.16,4.03,7.91
DMART,36,36,1,351.86,3845.3,3850,0.5,2.4,,0.5,3.1,,1.89,5.56,10.86
CUMMINSIND,75,75,1,284.807,4884.3,4900,0.5,3.3000000000000003,,1,3.4000000000000004,,2.86,6.37,10.45
VEDL,31,31,1,102.928,681.25,680,0.5,4.1000000000000005,,0.7000000000000001,3.8,3.6999999999999997,2.52,9.18,12.01
BEL,25,25,1,29.476,439.75,440,0.5,3.2,4.7,0.8,3.2,1.7000000000000002,2.5,6.42,9.7
ONGC,23,23,1,292.589,275.65,275.75,0.5,3.5999999999999996,,0.6,3.2,,2.23,6.75,8.0
ADANIPORTS,22,22,1,310.464,1555.8,1560,0.5,3.2,,1,3.1,,2.51,7.31,9.5
UNITDSPR,109,109,1,118.328,1416.9,1420,0.5,2.7,,0.8999999999999999,2.5,,1.95,4.53,8.05
BANKBARODA,53,53,1,317.695,313.35,312.5,0.5,3.1,,0.5,2.6,,2.13,6.56,7.87
SHREECEM,115,115,1,6219.59,26550,26500,0.5,2.1,,0.4,1.6,,2.25,5.08,7.36
NATIONALUM,167,167,1,108.064,338.95,340,0.4,4.3999999999999995,,0.6,4,,2.72,11.88,15.4
PRESTIGE,164,164,1,367.452,1488.9,1480,0.4,4.2,,0.2,3.2,,2.86,8.68,14.85
HDFCLIFE,55,55,1,81.65,742.45,740,0.4,2.8000000000000003,,0.3,1.9,,1.93,4.81,8.02
TATAPOWER,86,86,1,118.481,379.25,380,0.4,2.7,2.3,1,2.6,0,2.26,5.77,8.58
BAJAJ-AUTO,29,29,1,1223.784,9905.5,9900,0.4,2.6,,0.5,2.6,,1.99,4.92,8.11
MANAPPURAM,291,291,1,148.585,303.85,305,0.4,4,,1,3.6999999999999997,,2.67,9.39,13.12
AMBER,282,282,1,1037.867,7770,7800,0.4,4.7,,0.8999999999999999,4.8,,2.29,8.4,16.92
COLPAL,176,176,1,58.171,2196,2200,0.4,2.9000000000000004,,0.8999999999999999,2.4,,1.92,4.64,7.95
CDSL,279,279,1,83.376,1334.3,1340,0.4,3.2,,0.6,3.6999999999999997,,2.64,8.37,14.67
BHARATFORG,125,125,1,195.841,1832,1840,0.4,3.6999999999999997,,1,3.8,,2.6,6.97,10.77
PFC,74,74,1,356.772,411.8,412.5,0.4,3,,0.7000000000000001,3.2,,2.43,7.74,10.53
ADANIENT,35,35,1,445.61,2191,2200,0.4,3.6999999999999997,3.6999999999999997,0.8,3.5999999999999996,,2.99,8.89,13.58
PREMIERENE,243,243,1,77.107,776.25,780,0.4,4.5,,0.8,4.3999999999999995,,2.73,10.85,16.96
ETERNAL,39,39,1,33.193,268,270,0.4,4.3,,1.0999999999999999,4.3,5.7,3.29,10.34,15.37
EICHERMOT,41,41,1,805.256,8038.5,8050,0.4,2.8000000000000003,,0.4,2.4,,1.85,5.93,9.39
GRASIM,46,46,1,1468.673,2873.4,2880,0.4,2.8000000000000003,,0.1,2,,2.06,4.75,7.67
INDIGO,47,47,1,223.364,4862.2,4850,0.4,3.1,,0.4,2.4,,1.66,5.32,12.32
BLUESTARCO,217,217,1,150.848,1961.8,1960,0.4,3.5999999999999996,,0.3,3,,2.37,6.15,12.06
