[Equity NWE - Nearing List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Day Gap%,Week Gap%,Month Gap%,Volatility%,Details
BCE,615,100,1.0,4,23.28,0.92,11.07,30.08,1.67,(Stock Name: BCE, Inc.; Sector: Communication Services; Intrinsic: 15.41; Revenue: 2471 cr; Net Profit: 629 cr; Recommended: buy; Projected High: 31.803278; Projected Medium: 25.109526; Projected Low: 23.611504; All time high: 59.34 => 61.0%; SMA 200: 24.2 => -3.94%; RSI: 34.61; Day Volatility: 1.67; Week Volatility: 4.58; Month Volatility: 8.2; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 20.28 => 12.89%; Week Support: 20.28 => 12.89%; Month Support: 20.28 => 12.89%; Day NWE: 23.07 => 0.92%; Week NWE: 20.7 => 11.07%; Month NWE: 16.28 => 30.08%)
SMHI,4445,100,1.0,-3,6.68,0.96,22.73,19.28,5.0,(Stock Name: SEACOR Marine Holdings Inc.; Sector: Industrials; Intrinsic: 9.15; Revenue: 22 cr; Net Profit: -3 cr; Recommended: none; Projected High: 11.0; Projected Medium: 11.0; Projected Low: 11.0; All time high: 30.4 => 78.0%; SMA 200: 6.96 => -4.19%; RSI: 34.81; Day Volatility: 5.0; Week Volatility: 10.13; Month Volatility: 19.76; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 3.63 => 45.66%; Week Support: 3.63 => 45.66%; Month Support: 3.63 => 45.66%; Day NWE: 6.62 => 0.96%; Week NWE: 5.16 => 22.73%; Month NWE: 5.39 => 19.28%)
EA,348,100,1.0,5,202.15,1.0,10.05,19.62,0.49,(Stock Name: Electronic Arts Inc.; Sector: Communication Services; Intrinsic: 26.98; Revenue: 753 cr; Net Profit: 89 cr; Recommended: hold; Projected High: 210.0; Projected Medium: 210.0; Projected Low: 160.0; All time high: 204.89 => 1.0%; SMA 200: 199.26 => 1.43%; RSI: 47.89; Day Volatility: 0.49; Week Volatility: 0.95; Month Volatility: 1.97; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 115.21 => 43.01%; Week Support: 115.21 => 43.01%; Month Support: 115.21 => 43.01%; Day NWE: 200.13 => 1.0%; Week NWE: 181.83 => 10.05%; Month NWE: 162.48 => 19.62%)
HP,1751,100,1.0,-2,34.97,1.01,16.09,59.75,3.94,(Stock Name: Helmerich & Payne, Inc.; Sector: Energy; Intrinsic: 25.31; Revenue: 400 cr; Net Profit: -38 cr; Recommended: buy; Projected High: 47.0; Projected Medium: 43.0; Projected Low: 30.0; All time high: 118.95 => 71.0%; SMA 200: 31.43 => 10.12%; RSI: 36.94; Day Volatility: 3.94; Week Volatility: 10.59; Month Volatility: 16.79; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 14.65 => 58.11%; Week Support: 14.65 => 58.11%; Month Support: 14.65 => 58.11%; Day NWE: 34.62 => 1.01%; Week NWE: 29.34 => 16.09%; Month NWE: 14.08 => 59.75%)
AVA,1795,100,1.0,2,39.76,1.02,4.23,16.38,2.75,(Stock Name: Avista Corporation; Sector: Utilities; Intrinsic: 33.59; Revenue: 192 cr; Net Profit: 21 cr; Recommended: hold; Projected High: 50.0; Projected Medium: 40.5; Projected Low: 37.0; All time high: 53.0 => 25.0%; SMA 200: 39.8 => -0.09%; RSI: 40.01; Day Volatility: 2.75; Week Volatility: 3.97; Month Volatility: 8.11; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 35.5 => 10.71%; Week Support: 35.5 => 10.71%; Month Support: 30.53 => 23.21%; Day NWE: 39.35 => 1.02%; Week NWE: 38.08 => 4.23%; Month NWE: 33.25 => 16.38%)
DBRG,1908,100,1.0,4,15.77,1.08,20.26,61.62,0.33,(Stock Name: DigitalBridge Group, Inc.; Sector: Financial Services; Intrinsic: 7.2; Revenue: 12 cr; Net Profit: 9 cr; Recommended: none; Projected High: 16.0; Projected Medium: 16.0; Projected Low: 16.0; All time high: 99.64 => 84.0%; SMA 200: 14.02 => 11.12%; RSI: 65.56; Day Volatility: 0.33; Week Volatility: 0.56; Month Volatility: 6.58; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 8.94 => 43.31%; Week Support: 8.94 => 43.31%; Month Support: 6.41 => 59.35%; Day NWE: 15.6 => 1.08%; Week NWE: 12.57 => 20.26%; Month NWE: 6.05 => 61.62%)
EQR,575,100,1.0,4,64.09,1.1,8.16,25.54,2.14,(Stock Name: Equity Residential; Sector: Real Estate; Intrinsic: 28.43; Revenue: 311 cr; Net Profit: 95 cr; Recommended: buy; Projected High: 80.0; Projected Medium: 70.5; Projected Low: 63.0; All time high: 94.32 => 32.0%; SMA 200: 62.71 => 2.15%; RSI: 39.79; Day Volatility: 2.14; Week Volatility: 4.49; Month Volatility: 8.0; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 59.41 => 7.3%; Week Support: 59.41 => 7.3%; Month Support: 52.57 => 17.97%; Day NWE: 63.39 => 1.1%; Week NWE: 58.86 => 8.16%; Month NWE: 47.72 => 25.54%)
BP,169,100,1.0,5,39.1,1.13,2.38,24.99,2.26,(Stock Name: BP p.l.c.; Sector: Energy; Intrinsic: 5.43; Revenue: 19300 cr; Net Profit: 321 cr; Recommended: buy; Projected High: 62.0; Projected Medium: 52.0; Projected Low: 37.0; All time high: 62.38 => 37.0%; SMA 200: 38.9 => 0.52%; RSI: 28.48; Day Volatility: 2.26; Week Volatility: 5.62; Month Volatility: 14.28; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 25.22 => 35.5%; Week Support: 25.22 => 35.5%; Month Support: 25.22 => 35.5%; Day NWE: 38.66 => 1.13%; Week NWE: 38.17 => 2.38%; Month NWE: 29.33 => 24.99%)
YMM,1174,100,1.0,6,7.8,1.15,19.71,,3.74,(Stock Name: Full Truck Alliance Co. Ltd.; Sector: Technology; Intrinsic: 5.68; Revenue: 1264 cr; Net Profit: 413 cr; Recommended: buy; Projected High: 16.77103; Projected Medium: 12.570253; Projected Low: 8.604373; All time high: 21.5 => 64.0%; SMA 200: 10.44 => -33.82%; RSI: 34.77; Day Volatility: 3.74; Week Volatility: 9.26; Month Volatility: 17.61; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 6.66 => 14.62%; Month Support: 0.0 => 100.0%; Day NWE: 7.71 => 1.15%; Week NWE: 6.26 => 19.71%; Month NWE: 0.0 => 100.0%)
TTE,98,100,1.0,4,80.43,1.15,1.7,23.89,2.12,(Stock Name: TotalEnergies SE; Sector: Energy; Intrinsic: 53.61; Revenue: 18396 cr; Net Profit: 1509 cr; Recommended: none; Projected High: 106.0; Projected Medium: 103.0; Projected Low: 77.0; All time high: 94.17 => 15.0%; SMA 200: 74.36 => 7.55%; RSI: 24.19; Day Volatility: 2.12; Week Volatility: 4.79; Month Volatility: 11.9; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 52.78 => 34.38%; Week Support: 52.78 => 34.38%; Month Support: 52.78 => 34.38%; Day NWE: 79.51 => 1.15%; Week NWE: 79.07 => 1.7%; Month NWE: 61.21 => 23.89%)
