[RSI - Below 30 List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Week RSI,Volatility%,Details
NUS,4175,100,1.0,1,4.98,25.138700155001303,14.06,(Stock Name: Nu Skin Enterprises, Inc.; Sector: Consumer Defensive; Intrinsic: 16.34; Revenue: 144 cr; Net Profit: 5 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 140.5 => 96.0%; SMA 200: 17.58 => -252.98%; RSI: 25.14; Day Volatility: 14.06; Week Volatility: 14.06; Month Volatility: 32.64; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 5.32 => -6.83%; Week Support: 5.32 => -6.83%; Month Support: 5.32 => -6.83%; Day NWE: 3.6 => 27.7%; Week NWE: 3.6 => 27.7%; Month NWE: -9.2 => 284.73%)
PNNT,4205,100,1.0,1,3.6,25.152715625507955,9.05,(Stock Name: PennantPark Investment Corporat; Sector: Financial Services; Intrinsic: 7.0; Revenue: 11 cr; Net Profit: 1 cr; Recommended: hold; Projected High: 5.0; Projected Medium: 5.0; Projected Low: 4.0; All time high: 13.19 => 73.0%; SMA 200: 6.31 => -75.38%; RSI: 25.15; Day Volatility: 9.05; Week Volatility: 9.05; Month Volatility: 20.12; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 5.72 => -58.89%; Week Support: 5.72 => -58.89%; Month Support: 4.7 => -30.56%; Day NWE: 3.41 => 5.38%; Week NWE: 3.41 => 5.38%; Month NWE: 3.71 => -3.19%)
PLNT,1629,100,1.0,4,50.21,25.220504456056027,15.7,(Stock Name: Planet Fitness, Inc.; Sector: Consumer Cyclical; Intrinsic: -6.09; Revenue: 129 cr; Net Profit: 23 cr; Recommended: buy; Projected High: 133.0; Projected Medium: 60.5; Projected Low: 45.0; All time high: 114.47 => 56.0%; SMA 200: 79.93 => -59.2%; RSI: 25.22; Day Volatility: 15.7; Week Volatility: 15.7; Month Volatility: 29.83; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 87.72 => -74.71%; Week Support: 87.72 => -74.71%; Month Support: 44.13 => 12.11%; Day NWE: 39.73 => 20.88%; Week NWE: 39.73 => 20.88%; Month NWE: 52.51 => -4.57%)
FLD,5485,100,1.0,-3,0.62,25.289171395401915,73.4,(Stock Name: Fold Holdings, Inc.; Sector: Financial Services; Intrinsic: 0.72; Revenue: 3 cr; Net Profit: -5 cr; Recommended: none; Projected High: 5.45; Projected Medium: 3.25; Projected Low: 1.7; All time high: 14.0 => 96.0%; SMA 200: 7.96 => -1192.32%; RSI: 25.29; Day Volatility: 73.4; Week Volatility: 73.4; Month Volatility: 130.33; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 2.51 => -307.47%; Week Support: 2.51 => -307.47%; Month Support: 0.0 => 100.0%; Day NWE: -0.72 => 217.23%; Week NWE: -0.72 => 217.23%; Month NWE: 0.0 => 100.0%)
Z,1336,100,1.0,4,32.01,25.32677351663562,12.31,(Stock Name: Zillow Group, Inc.; Sector: Communication Services; Intrinsic: 20.31; Revenue: 269 cr; Net Profit: 6 cr; Recommended: hold; Projected High: 76.0; Projected Medium: 61.0; Projected Low: 40.0; All time high: 208.11 => 85.0%; SMA 200: 54.93 => -71.62%; RSI: 25.33; Day Volatility: 12.31; Week Volatility: 12.31; Month Volatility: 35.68; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 57.51 => -79.66%; Week Support: 57.51 => -79.66%; Month Support: 26.14 => 18.33%; Day NWE: 20.86 => 34.82%; Week NWE: 20.86 => 34.82%; Month NWE: 30.26 => 5.45%)
INTU,243,40,1.0,5,269.08,25.43609758633026,18.77,(Stock Name: Intuit Inc.; Sector: Technology; Intrinsic: 75.22; Revenue: 2092 cr; Net Profit: 458 cr; Recommended: buy; Projected High: 921.0; Projected Medium: 460.0; Projected Low: 276.0; All time high: 813.7 => 67.0%; SMA 200: 553.08 => -105.55%; RSI: 25.44; Day Volatility: 18.77; Week Volatility: 18.77; Month Volatility: 41.2; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 532.65 => -97.95%; Week Support: 532.65 => -97.95%; Month Support: 339.36 => -26.12%; Day NWE: 235.46 => 12.5%; Week NWE: 235.46 => 12.5%; Month NWE: 366.67 => -36.27%)
CENN,6033,100,1.0,-3,4.06,25.467915056404227,24.53,(Stock Name: Cenntro Inc.; Sector: Consumer Cyclical; Intrinsic: 27.49; Revenue: 2 cr; Net Profit: -7 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 2430000128.0 => 100.0%; SMA 200: 1286.31 => -31584.84%; RSI: 25.47; Day Volatility: 24.53; Week Volatility: 24.53; Month Volatility: 72.75; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 60.0 => -1377.94%; Week Support: 60.0 => -1377.94%; Month Support: 60.0 => -1377.94%; Day NWE: -13.32 => 428.03%; Week NWE: -13.32 => 428.03%; Month NWE: -26100.82 => 643024.91%)
GAMB,4968,100,1.0,-3,2.33,25.557214633140735,29.98,(Stock Name: Gambling.com Group Limited; Sector: Consumer Cyclical; Intrinsic: 3.04; Revenue: 17 cr; Net Profit: -5 cr; Recommended: buy; Projected High: 6.0; Projected Medium: 5.5; Projected Low: 4.0; All time high: 17.14 => 86.0%; SMA 200: 9.38 => -302.67%; RSI: 25.56; Day Volatility: 29.98; Week Volatility: 29.98; Month Volatility: 44.85; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 7.51 => -222.53%; Week Support: 7.51 => -222.53%; Month Support: 7.51 => -222.53%; Day NWE: -0.04 => 101.86%; Week NWE: -0.04 => 101.86%; Month NWE: 0.0 => 100.0%)
ATOS,5670,100,1.0,-3,1.99,25.63786475836477,44.48,
BRBR,2743,100,1.0,2,9.07,25.703165840669158,25.2,(Stock Name: BellRing Brands, Inc.; Sector: Consumer Defensive; Intrinsic: -4.28; Revenue: 233 cr; Net Profit: 16 cr; Recommended: buy; Projected High: 20.0; Projected Medium: 13.0; Projected Low: 10.0; All time high: 80.67 => 89.0%; SMA 200: 43.98 => -384.89%; RSI: 25.7; Day Volatility: 25.2; Week Volatility: 25.2; Month Volatility: 65.97; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 48.06 => -429.88%; Week Support: 48.06 => -429.88%; Month Support: 20.2 => -122.71%; Day NWE: -3.51 => 138.69%; Week NWE: -3.51 => 138.69%; Month NWE: 0.0 => 100.0%)
